"","V1","V2","V3","V4","V5","V6","V7"
"1",50,66,44,93,79,81,62
"2",56,50,96,74,82,79,80
"3",74,68,69,99,70,86,75
"4",54,45,65,73,96,95,58
"5",61,81,43,61,79,77,96
"6",51,70,78,75,63,77,90
"7",94,70,69,43,52,59,50
"8",77,47,48,60,62,93,79
"9",87,95,100,47,50,86,44
"10",93,83,98,86,50,60,70
"11",96,53,65,68,95,50,63
"12",77,72,62,85,78,59,98
"13",64,98,45,73,71,84,65
"14",85,43,68,64,92,98,71
"15",91,71,90,92,60,100,80
"16",65,100,81,44,91,89,79
"17",81,59,47,45,90,82,49
"18",89,76,91,97,52,78,93
"19",92,72,74,43,74,100,99
"20",43,49,94,78,51,73,92
"21",49,94,94,64,42,62,63
"22",41,70,63,99,75,82,86
"23",74,61,67,55,94,82,78
"24",62,76,92,47,48,80,74
"25",62,66,87,81,90,82,74
"26",70,50,66,41,99,71,73
"27",88,45,61,49,83,87,100
"28",77,72,84,64,85,53,55
"29",67,57,75,82,66,69,88
"30",54,72,71,82,93,42,80
"31",76,81,80,98,78,96,95
"32",45,95,94,99,77,67,82
"33",81,96,68,58,65,83,75
"34",41,76,59,72,70,44,91
"35",66,59,70,68,84,72,100
